Elements name,Elements symbol,Number of Electron,Number of Proton,Number of Neutron,Atomic number,Atomic mass,State ,Melting point (K/C/F),Boiling point (K/C/F),Density at(g/cm^3)
Actinium,Ac,89,89,138,89,227,Solid,1323/1059/1922,3473/3200/5792,10.07
Aluminum,Al,13,13,14,13,26.981538,Solid,933/660/1221,2792/2519/4566,2.7
Americium,Am,95,95,148,95,243,Solid,1449/1176/214,2284/2011/3652,
Antimony (Stibium),Sb,51,51,71,51,121.76,Solid,904/631/1167,1860/1587/2888,6.697
Argon,Ar,18,18,22,18,39.948,Gas,84/ -189/ -309,87/-186/-303,0.001784
Arsenic,As,33,33,42,33,74.9216,Solid,1090/817/1502,887/614/1137,5.727
Astatine,At,85,85,125,85,210,Solid,575/302/575,610/337/638,
Barium,Ba,56,56,81,56,137.327,Solid,1000/727/1340,2143/1870/3398,3.51
Berkelium,Bk,97,97,150,97,247,Solid,1323/1050/1922,,14.78
Beryllium,Be,4,4,5,4,9.012182,Solid,1560/1287/2348,2743/2470/4478,1.848
Bismuth,Bi,83,83,126,83,208.98038,Solid,544/271/520,1837/1564/2847,9.78
Boron,B,5,5,6,5,10.811,Solid,2348/2075/3767,4273/4000/7232,2.46
Bromine,Br,35,35,45,35,79.904,Liquid,266/-7/19,332/59/138,3.12
Cadmium,Cd,48,48,64,48,112.411,Solid,594/21/610,1040/767/1412,8.65
Calcium,Ca,20,20,20,20,40.078,Solid,1115/842/1547,1757/1484/2703,1.55
Californium,Cf,98,98,153,98,251,Solid,1173/900/1652,,15.1
Carbon,C,6,6,6,6,12.0107,Solid,3823/3550/6422,4300/4027/7280,2.26
Cerium,Ce,58,58,82,58,140.116,Solid,1071/798/1468,3633/3360/6080,6.689
Cesium,Cs,55,55,78,55,132.90545,Solid,302/28/83,944/671/1240,1.879
Chlorine,Cl,17,17,18,17,35.453,Gas,172/-102/-151,239/-34/-29,0.003214
Chromium,Cr,24,24,28,24,51.9961,Solid,2180/1907/3464,2944/2671/4840,7.14
Cobalt,Co,27,27,32,27,58.9332,Solid,1768/1495/2723,3200/2927/5300,8.9
Copper,Cu,29,29,35,29,63.546,Solid,1358/1085/1984,2835/2562/4643,8.92
Curium,Cm,96,96,151,96,247,Solid,1618/1345/2453,3383/3110/5630,13.51
Dysprosium,Dy,66,66,96,66,162.5,Solid,1629/1356/2473,3503/3230/5846,8.219
Einsteinium,Es,99,99,153,99,252,Solid,1133/860/1580,,
Erbium,Er,68,68,99,68,167.259,Solid,1770/1497/2726,3141/2868/5194,9.066
Europium,Eu,63,63,89,63,151.964,Solid,1095/822/1511,1800/1527/2780,5.244
Fermium,Fm,100,100,157,100,257,Solid,1800/1527/2780,,
Fluorine,F,9,9,10,9,18.9984032,Gas,53/-220/-364,85/-188/-307,0.001696
Francium,Fr,87,87,136,87,223,Solid,300/27/80,950/677/1250,
Gadolinium,Gd,64,64,93,64,157.25,Solid,1586/1313/2395,3523/3250/5882,7.01
Gallium,Ga,31,31,39,31,69.723,Solid,303/30/86,2477/2204/3999,5.904
Germanium,Ge,32,32,41,32,72.64,Solid,1211/938/1721,3093/2820/5108,5.23
Gold (Aurum),Au,79,79,118,79,196.96655,Solid,1337/1064/1948,3129/2856/5173,19.3
Hafnium,Hf,72,72,106,72,178.49,Solid,2506/2233/4051,4876/4603/8317,13.31
Helium,He,2,2,2,2,4.002602,Gas,0/-273/-460,4/-269/-452,0.0001785
Holmium,Ho,67,67,98,67,164.93032,Solid,1936/1663/3025,3675/3402/6155,9.841
Hydrogen,H,1,1,0,1,1.00794,Gas,14/-259/-434,20/-253/-423,0.0000899
Indium,In,49,49,66,49,114.818,Solid,430/157/314,2345/2072/3761,7.31
Iodine,I,53,53,74,53,126.90447,Solid,387/114/237,457/184/364,4.94
Iridium,Ir,77,77,115,77,192.217,Solid,2739/2466/4471,4701/4428/8002,22.65
Iron (Ferrum),Fe,26,26,30,26,55.845,Solid,1811/1538/2800,3434/2861/5182,7.874
Krypton,Kr,36,36,48,36,83.798,Gas,116/-157/-251,120/-153/-244,0.00375
Lanthanum,La,57,57,82,57,138.9055,Solid,1193/920/1688,3737/3464/6267,6.146
Lawrencium,Lr,103,103,159,103,262,Solid,1900/1628/2960,,
Lead (Plumbum),Pb,82,82,125,82,207.2,Solid,601/327/621,2022/1749/3180,11.34
Lithium,Li,3,3,4,3,6.941,Solid,454/181/357,1615/1342/2447,0.535
Lutetium,Lu,71,71,104,71,174.967,Solid,1936/1663/3025,3675/3402/6155,9.841
Magnesium,Mg,12,12,12,12,24.305,Solid,923/650/1202,1363/1090/1994,1.738
Manganese,Mn,25,25,30,25,54.938,Solid,1519/1246/2275,2334/2061/3742,7.47
Mendelevium,Md,101,101,157,101,258,Solid,1100/827/1520,,
Mercury (Hydrargyrum),Hg,80,80,121,80,200.59,Liquid,234/-39/-38,630/357/674,13.534
Molybdenum,Mo,42,42,54,42,95.94,Solid,2896/2623/4753,4912/4639/8382,10.28
